Source,Target,id,Weight
3,23,1,1
11,11,2,1
11,151,3,2
15,175,4,1
54,46,5,1
64,59,6,1
64,68,7,1
64,203,8,1
64,219,9,1
64,223,10,1
64,239,11,1
96,147,12,1
101,102,13,1
101,179,14,1
101,206,15,1
101,208,16,1
106,157,17,1
106,211,18,1
109,151,19,2
109,158,20,2
113,78,21,1
113,113,22,1
128,184,23,1
130,241,24,1
157,145,25,1
157,168,26,1
157,211,27,1
163,80,28,1
163,81,29,1
163,127,30,1
163,188,31,1
163,194,32,1
163,218,33,1
163,251,34,1
163,258,35,1
163,263,36,1
168,171,37,1
173,26,38,1
173,30,39,1
173,40,40,1
173,64,41,1
173,96,42,1
173,100,43,1
173,106,44,1
173,153,45,1
173,162,46,1
173,178,47,1
173,202,48,1
173,220,49,1
174,169,50,1
178,9,51,1
178,87,52,1
178,133,53,1
178,136,54,1
178,138,55,1
178,152,56,1
178,240,57,1
178,249,58,1
178,260,59,1
183,82,60,1
183,209,61,1
183,248,62,1
183,268,63,1
186,82,64,1
186,209,65,1
186,248,66,1
186,268,67,1
188,181,68,1
193,193,69,1
195,195,70,1
201,161,71,1
201,210,72,1
204,204,73,1
209,213,74,1
223,29,75,1
223,192,76,1
223,221,77,2
228,124,78,1
230,104,79,1
230,176,80,1
241,241,81,1
249,77,82,1
249,83,83,1
253,103,84,1
253,141,85,1
253,199,86,1
253,222,87,1
253,232,88,1
253,253,89,1
254,254,90,1
256,51,91,1
256,256,92,1
259,262,93,1
261,26,94,1
261,30,95,1
261,59,96,1
261,64,97,1
261,68,98,1
261,96,99,1
261,100,100,1
261,106,101,1
261,153,102,1
261,162,103,1
261,178,104,1
261,202,105,1
261,219,106,1
261,220,107,1
262,262,108,1
